FlexiSol Name,IUPAC Name,Solvent,SMILES,Value (\kcalpmole),Ref.
1r-tetramethrin,"(1,3-dioxo-4,5,6,7-tetrahydroisoindol-2-yl)methyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",octanol,CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)C3=C(C2=O)CCCC3)C,-16.565,10.1021/acs.est.2c06170
rs-iprovalicarb,propan-2-yl N-[(2S)-3-methyl-1-[[(1R)-1-(4-methylphenyl)ethyl]amino]-1-oxobutan-2-yl]carbamate,octanol,CC1=CC=C(C=C1)C(C)NC(=O)C(C(C)C)NC(=O)OC(C)C,-15.951,10.1021/acs.est.2c06170
1-nitroguanidin,1-nitroguanidine,octanol,C(=N)(N)N[N+](=O)[O-],-16.278,10.1021/acs.est.2c06170
"1,1-dimethyl-3,3,4,4,5,5-hexabromo--2,2-bipyrrole","2,3,4-tribromo-1-methyl-5-(3,4,5-tribromo-1-methylpyrrol-2-yl)pyrrole",octanol,CN1C(=C(C(=C1Br)Br)Br)C2=C(C(=C(N2C)Br)Br)Br,-15.774,10.1021/acs.est.2c06170
"1,2,3,4-dibenzanthracene",benzo[b]triphenylene,octanol,C1=CC=C2C=C3C4=CC=CC=C4C5=CC=CC=C5C3=CC2=C1,-16.524,10.1021/acs.est.2c06170
"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin","1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",octanol,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-15.583,10.1021/acs.est.2c06170
"1,2,3,4,6,7,8,9-octachlorodibenzo-p--dioxin","1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",octanol,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-18.161,10.1021/acs.est.2c06170
"1,2,3,4,7,8,9-heptachlorodibenzofuran","1,2,3,4,7,8,9-heptachlorodibenzofuran",octanol,C1=C2C(=C(C(=C1Cl)Cl)Cl)C3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-15.596,10.1021/acs.est.2c06170
"1h-purin-6-amine,-n-phenylmethyl-",N-benzyl-7H-purin-6-amine,octanol,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,-17.547,10.1021/acs.est.2c06170
2-[n-ethyl-4-[4-nitrophenyldiazenyl]anilino]ethanol,2-[N-ethyl-4-[(4-nitrophenyl)diazenyl]anilino]ethanol,octanol,CCN(CCO)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)[N+](=O)[O-],-20.004,10.1021/acs.est.2c06170
2-aminoanthraquinone,"2-aminoanthracene-9,10-dione",octanol,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,-15.678,10.1021/acs.est.2c06170
"2,2,3,3,4,4,5,5,6-nonachlorobiphenyl","1,2,3,4,5-pentachloro-6-(2,3,4,5-tetrachlorophenyl)benzene",octanol,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,-15.651,10.1021/acs.est.2c06170
"2,2,3,4,4,5,6-heptabromodiphenylether","1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)benzene",octanol,C1=C(C(=CC(=C1Br)Br)Br)OC2=C(C(=C(C=C2Br)Br)Br)Br,-19.649,10.1021/acs.est.2c06170
"2,2,4,4,5-pentabromodiphenylether","1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene",octanol,C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br,-15.623,10.1021/acs.est.2c06170
"2,2,4,4,5,5-hexabromobiphenyl","1,2,4-tribromo-5-(2,4,5-tribromophenyl)benzene",octanol,C1=C(C(=CC(=C1Br)Br)Br)C2=CC(=C(C=C2Br)Br)Br,-16.374,10.1021/acs.est.2c06170
"2,2,4,4,5,5-hexabromodiphenylether","1,2,4-tribromo-5-(2,4,5-tribromophenoxy)benzene",octanol,C1=C(C(=CC(=C1Br)Br)Br)OC2=CC(=C(C=C2Br)Br)Br,-16.579,10.1021/acs.est.2c06170
"2,2,4,4,5,6-hexabromodiphenylether","1,2,4-tribromo-5-(2,4,6-tribromophenoxy)benzene",octanol,C1=C(C=C(C(=C1Br)OC2=CC(=C(C=C2Br)Br)Br)Br)Br,-16.292,10.1021/acs.est.2c06170
"2,3,3,4,4,5-hexabromodiphenylether","1,2,3,4-tetrabromo-5-(3,4-dibromophenoxy)benzene",octanol,C1=CC(=C(C=C1OC2=CC(=C(C(=C2Br)Br)Br)Br)Br)Br,-16.347,10.1021/acs.est.2c06170
"2,3,4,4,6-pentabromodiphenylether","1,3,5-tribromo-2-(3,4-dibromophenoxy)benzene",octanol,C1=CC(=C(C=C1OC2=C(C=C(C=C2Br)Br)Br)Br)Br,-15.719,10.1021/acs.est.2c06170
"3,3,4,4,5-pentabromodiphenylether","1,2,3-tribromo-5-(3,4-dibromophenoxy)benzene",octanol,C1=CC(=C(C=C1OC2=CC(=C(C(=C2)Br)Br)Br)Br)Br,-16.374,10.1021/acs.est.2c06170
"4,7-dibromobenz[a]anthracene","4,7-dibromobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=C3C4=C(C=CC3=C2Br)C(=CC=C4)Br,-17.438,10.1021/acs.est.2c06170
"5,7-dibromobenz[a]anthracene","5,7-dibromobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=C3C4=CC=CC=C4C(=CC3=C2Br)Br,-17.506,10.1021/acs.est.2c06170
"5-oh-2,2,4,4,5-pentabromodiphenylether","2,4-dibromo-5-(2,4,5-tribromophenoxy)phenol",octanol,C1=C(C(=CC(=C1OC2=CC(=C(C=C2Br)Br)Br)Br)Br)O,-15.651,10.1021/acs.est.2c06170
6-bromobenzo[a]pyrene,6-bromobenzo[a]pyrene,octanol,C1=CC=C2C(=C1)C3=C4C(=C2Br)C=CC5=CC=CC(=C54)C=C3,-17.67,10.1021/acs.est.2c06170
6-chlorobenzo[a]pyrene,6-chlorobenzo[a]pyrene,octanol,C1=CC=C2C(=C1)C3=C4C(=C2Cl)C=CC5=CC=CC(=C54)C=C3,-17.411,10.1021/acs.est.2c06170
"6,12-dichlorochrysene","6,12-dichlorochrysene",octanol,C1=CC=C2C(=C1)C(=CC3=C2C=C(C4=CC=CC=C43)Cl)Cl,-16.483,10.1021/acs.est.2c06170
7-bromobenz[a]anthracene,7-bromobenzo[a]anthracene,octanol,C1=CC=C2C(=C1)C=CC3=C(C4=CC=CC=C4C=C32)Br,-16.006,10.1021/acs.est.2c06170
"7,11-dibromobenz[a]anthracene","7,11-dibromobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=CC3=C(C4=C(C=C32)C(=CC=C4)Br)Br,-17.22,10.1021/acs.est.2c06170
"7,12-dibromobenz[a]anthracene","7,12-dibromobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=CC3=C(C4=CC=CC=C4C(=C32)Br)Br,-17.275,10.1021/acs.est.2c06170
"7,12-dichlorobenz[a]anthracene","7,12-dichlorobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=CC3=C(C4=CC=CC=C4C(=C32)Cl)Cl,-16.442,10.1021/acs.est.2c06170
ametoctradin,"5-ethyl-6-octyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-amine",octanol,CCCCCCCCC1=C(N2C(=NC=N2)N=C1CC)N,-18.735,10.1021/acs.est.2c06170
anti-isopyrazam,"3-(difluoromethyl)-1-methyl-N-[(1S,8R,11S)-11-propan-2-yl-3-tricyclo[6.2.1.02,7]undeca-2(7),3,5-trienyl]pyrazole-4-carboxamide",octanol,CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C,-19.076,10.1021/acs.est.2c06170
beflubutamid,N-benzyl-2-[4-fluoro-3-(trifluoromethyl)phenoxy]butanamide,octanol,CCC(C(=O)NCC1=CC=CC=C1)OC2=CC(=C(C=C2)F)C(F)(F)F,-15.678,10.1021/acs.est.2c06170
benomyl,methyl N-[1-(butylcarbamoyl)benzimidazol-2-yl]carbamate,octanol,CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,-15.664,10.1021/acs.est.2c06170
bensulide,N-[2-di(propan-2-yloxy)phosphinothioylsulfanylethyl]benzenesulfonamide,octanol,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,-15.528,10.1021/acs.est.2c06170
bentazone,"2,2-dioxo-3-propan-2-yl-1H-2lambda6,1,3-benzothiadiazin-4-one",octanol,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,-15.583,10.1021/acs.est.2c06170
benzoapyrene,benzo[a]pyrene,octanol,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,-15.774,10.1021/acs.est.2c06170
benzoghiperylene,"hexacyclo[12.8.0.02,11.03,8.04,21.017,22]docosa-1(14),2(11),3(8),4,6,9,12,15,17(22),18,20-undecaene",octanol,C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2,-17.124,10.1021/acs.est.2c06170
beta-cyfluthrin-cis,"[(S)-cyano-(4-fluoro-3-phenoxyphenyl)methyl] (1S,3S)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",octanol,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,-15.951,10.1021/acs.est.2c06170
bifenox,"methyl 5-(2,4-dichlorophenoxy)-2-nitrobenzoate",octanol,COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],-15.965,10.1021/acs.est.2c06170
bitertanol-b,"(1R,2R)-3,3-dimethyl-1-(4-phenylphenoxy)-1-(1,2,4-triazol-1-yl)butan-2-ol",octanol,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O,-17.643,10.1021/acs.est.2c06170
bromofenoxim,"2,6-dibromo-4-[(E)-(2,4-dinitrophenoxy)iminomethyl]phenol",octanol,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])ON=CC2=CC(=C(C(=C2)Br)O)Br,-18.093,10.1021/acs.est.2c06170
cafenstrole,"N,N-diethyl-3-(2,4,6-trimethylphenyl)sulfonyl-1,2,4-triazole-1-carboxamide",octanol,CCN(CC)C(=O)N1C=NC(=N1)S(=O)(=O)C2=C(C=C(C=C2C)C)C,-16.674,10.1021/acs.est.2c06170
chloridazon,5-amino-4-chloro-2-phenylpyridazin-3-one,octanol,C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,-17.534,10.1021/acs.est.2c06170
chloroxuron,"3-[4-(4-chlorophenoxy)phenyl]-1,1-dimethylurea",octanol,CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,-15.678,10.1021/acs.est.2c06170
chlorpromazine,"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine",octanol,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,-18.175,10.1021/acs.est.2c06170
chlorsulfuron,"1-(2-chlorophenyl)sulfonyl-3-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)urea",octanol,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl,-17.52,10.1021/acs.est.2c06170
cloransulam-methyl,"methyl 3-chloro-2-[(5-ethoxy-7-fluoro-[1,2,4]triazolo[1,5-c]pyrimidin-2-yl)sulfonylamino]benzoate",octanol,CCOC1=NC(=CC2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3Cl)C(=O)OC)F,-20.699,10.1021/acs.est.2c06170
clothianidin,"1-[(2-chloro-1,3-thiazol-5-yl)methyl]-3-methyl-2-nitroguanidine",octanol,CNC(=N[N+](=O)[O-])NCC1=CN=C(S1)Cl,-18.543,10.1021/acs.est.2c06170
coronene,coronene,octanol,C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C=CC7=C6C3=C(C=C2)C=C7,-20.044,10.1021/acs.est.2c06170
coumatetralyl,"4-hydroxy-3-(1,2,3,4-tetrahydronaphthalen-1-yl)chromen-2-one",octanol,C1CC(C2=CC=CC=C2C1)C3=C(C4=CC=CC=C4OC3=O)O,-18.202,10.1021/acs.est.2c06170
cumyluron,1-[(2-chlorophenyl)methyl]-3-(2-phenylpropan-2-yl)urea,octanol,CC(C)(C1=CC=CC=C1)NC(=O)NCC2=CC=CC=C2Cl,-18.039,10.1021/acs.est.2c06170
cyenopyrafen,"[(E)-2-(4-tert-butylphenyl)-2-cyano-1-(2,4,5-trimethylpyrazol-3-yl)ethenyl] 2,2-dimethylpropanoate",octanol,CC1=C(N(N=C1C)C)C(=C(C#N)C2=CC=C(C=C2)C(C)(C)C)OC(=O)C(C)(C)C,-16.701,10.1021/acs.est.2c06170
decabromodiphenylether,"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene",octanol,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,-21.996,10.1021/acs.est.2c06170
decachlorobiphenyl,"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",octanol,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,-15.842,10.1021/acs.est.2c06170
desmedipham,[3-(ethoxycarbonylamino)phenyl] N-phenylcarbamate,octanol,CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2,-17.547,10.1021/acs.est.2c06170
"dibenza,hanthracene","naphtho[1,2-b]phenanthrene",octanol,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,-17.179,10.1021/acs.est.2c06170
diclofop,"2-[4-(2,4-dichlorophenoxy)phenoxy]propanoic acid",octanol,CC(C(=O)O)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,-18.762,10.1021/acs.est.2c06170
dicofol,"2,2,2-trichloro-1,1-bis(4-chlorophenyl)ethanol",octanol,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,-15.623,10.1021/acs.est.2c06170
difenoconazole,"1-[[2-[2-chloro-4-(4-chlorophenoxy)phenyl]-4-methyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",octanol,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,-17.807,10.1021/acs.est.2c06170
difenoxuron,"3-[4-(4-methoxyphenoxy)phenyl]-1,1-dimethylurea",octanol,CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)OC,-17.67,10.1021/acs.est.2c06170
dimoxystrobin,"(2E)-2-[2-[(2,5-dimethylphenoxy)methyl]phenyl]-2-methoxyimino-N-methylacetamide",octanol,CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2C(=NOC)C(=O)NC,-17.261,10.1021/acs.est.2c06170
diphacinone,"2-(2,2-diphenylacetyl)indene-1,3-dione",octanol,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,-16.77,10.1021/acs.est.2c06170
dithianone,"5,10-dioxobenzo[g][1,4]benzodithiine-2,3-dicarbonitrile",octanol,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=C(S3)C#N)C#N,-15.855,10.1021/acs.est.2c06170
eicosan-1-ol,icosan-1-ol,octanol,CCCCCCCCCCCCCCCCCCCCO,-16.456,10.1021/acs.est.2c06170
ethametsulfuron-methyl,"methyl 2-[[4-ethoxy-6-(methylamino)-1,3,5-triazin-2-yl]carbamoylsulfamoyl]benzoate",octanol,CCOC1=NC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)NC,-19.485,10.1021/acs.est.2c06170
etofenprox,1-ethoxy-4-[2-methyl-1-[(3-phenoxyphenyl)methoxy]propan-2-yl]benzene,octanol,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,-17.029,10.1021/acs.est.2c06170
etoxazole,"4-(4-tert-butyl-2-ethoxyphenyl)-2-(2,6-difluorophenyl)-4,5-dihydro-1,3-oxazole",octanol,CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F,-15.733,10.1021/acs.est.2c06170
fenhexamid,"N-(2,3-dichloro-4-hydroxyphenyl)-1-methylcyclohexane-1-carboxamide",octanol,CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,-16.06,10.1021/acs.est.2c06170
fenoxanil,"N-(2-cyano-3-methylbutan-2-yl)-2-(2,4-dichlorophenoxy)propanamide",octanol,CC(C)C(C)(C#N)NC(=O)C(C)OC1=C(C=C(C=C1)Cl)Cl,-18.175,10.1021/acs.est.2c06170
fenoxycarb,ethyl N-[2-(4-phenoxyphenoxy)ethyl]carbamate,octanol,CCOC(=O)NCCOC1=CC=C(C=C1)OC2=CC=CC=C2,-16.278,10.1021/acs.est.2c06170
fentrazamide,4-(2-chlorophenyl)-N-cyclohexyl-N-ethyl-5-oxotetrazole-1-carboxamide,octanol,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl,-15.664,10.1021/acs.est.2c06170
fenvalerate,[cyano-(3-phenoxyphenyl)methyl] 2-(4-chlorophenyl)-3-methylbutanoate,octanol,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,-17.711,10.1021/acs.est.2c06170
fluazifop,2-[4-[5-(trifluoromethyl)pyridin-2-yl]oxyphenoxy]propanoic acid,octanol,CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,-18.775,10.1021/acs.est.2c06170
flucythrinate,[cyano-(3-phenoxyphenyl)methyl] 2-[4-(difluoromethoxy)phenyl]-3-methylbutanoate,octanol,CC(C)C(C1=CC=C(C=C1)OC(F)F)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,-16.497,10.1021/acs.est.2c06170
fludioxonil,"4-(2,2-difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile",octanol,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,-15.842,10.1021/acs.est.2c06170
flufenoxuron,"N-[[4-[2-chloro-4-(trifluoromethyl)phenoxy]-2-fluorophenyl]carbamoyl]-2,6-difluorobenzamide",octanol,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,-20.113,10.1021/acs.est.2c06170
flumetsulam,"N-(2,6-difluorophenyl)-5-methyl-[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonamide",octanol,CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC3=C(C=CC=C3F)F,-17.998,10.1021/acs.est.2c06170
fluoxastrobin,"(E)-1-[2-[6-(2-chlorophenoxy)-5-fluoropyrimidin-4-yl]oxyphenyl]-1-(5,6-dihydro-1,4,2-dioxazin-3-yl)-N-methoxymethanimine",octanol,CON=C(C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)C4=NOCCO4,-17.616,10.1021/acs.est.2c06170
fluquinconazole,"3-(2,4-dichlorophenyl)-6-fluoro-2-(1,2,4-triazol-1-yl)quinazolin-4-one",octanol,C1=CC2=C(C=C1F)C(=O)N(C(=N2)N3C=NC=N3)C4=C(C=C(C=C4)Cl)Cl,-15.801,10.1021/acs.est.2c06170
fluroxypyr,"2-(4-amino-3,5-dichloro-6-fluoropyridin-2-yl)oxyacetic acid",octanol,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,-16.592,10.1021/acs.est.2c06170
flurtamone,5-(methylamino)-2-phenyl-4-[3-(trifluoromethyl)phenyl]furan-3-one,octanol,CNC1=C(C(=O)C(O1)C2=CC=CC=C2)C3=CC(=CC=C3)C(F)(F)F,-19.703,10.1021/acs.est.2c06170
fluxapyroxad,"3-(difluoromethyl)-1-methyl-N-[2-(3,4,5-trifluorophenyl)phenyl]pyrazole-4-carboxamide",octanol,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,-16.674,10.1021/acs.est.2c06170
forchlorfenuron,1-(2-chloropyridin-4-yl)-3-phenylurea,octanol,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl,-17.534,10.1021/acs.est.2c06170
furametpyr,"5-chloro-1,3-dimethyl-N-(1,1,3-trimethyl-3H-2-benzofuran-4-yl)pyrazole-4-carboxamide",octanol,CC1C2=C(C=CC=C2NC(=O)C3=C(N(N=C3C)C)Cl)C(O1)(C)C,-16.62,10.1021/acs.est.2c06170
galacticol,"(2R,3S,4R,5S)-hexane-1,2,3,4,5,6-hexol",octanol,C(C(C(C(C(CO)O)O)O)O)O,-19.089,10.1021/acs.est.2c06170
halfenprox,1-[bromo(difluoro)methoxy]-4-[2-methyl-1-[(3-phenoxyphenyl)methoxy]propan-2-yl]benzene,octanol,CC(C)(COCC1=CC(=CC=C1)OC2=CC=CC=C2)C3=CC=C(C=C3)OC(F)(F)Br,-17.575,10.1021/acs.est.2c06170
harmony,"methyl 3-[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)carbamoylsulfamoyl]thiophene-2-carboxylate",octanol,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC,-18.885,10.1021/acs.est.2c06170
heroin,"[(4R,4aR,7S,7aR,12bS)-9-acetyloxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-yl] acetate",octanol,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)OC(=O)C)CCN3C,-16.087,10.1021/acs.est.2c06170
hexaflumuron,"N-[[3,5-dichloro-4-(1,1,2,2-tetrafluoroethoxy)phenyl]carbamoyl]-2,6-difluorobenzamide",octanol,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F,-17.861,10.1021/acs.est.2c06170
imazamox,5-(methoxymethyl)-2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid,octanol,CC(C)C1(C(=O)NC(=N1)C2=C(C=C(C=N2)COC)C(=O)O)C,-19.621,10.1021/acs.est.2c06170
imazaquin,2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)quinoline-3-carboxylic acid,octanol,CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,-21.668,10.1021/acs.est.2c06170
imidacloprid,(NE)-N-[1-[(6-chloropyridin-3-yl)methyl]imidazolidin-2-ylidene]nitramide,octanol,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,-17.657,10.1021/acs.est.2c06170
indaziflam-b,"2-N-[(1R,2S)-2,6-dimethyl-2,3-dihydro-1H-inden-1-yl]-6-[(1S)-1-fluoroethyl]-1,3,5-triazine-2,4-diamine",octanol,CC1CC2=C(C1NC3=NC(=NC(=N3)N)C(C)F)C=C(C=C2)C,-15.869,10.1021/acs.est.2c06170
"indeno[1,2,3-cd]pyrene","hexacyclo[16.3.1.02,7.08,21.011,20.014,19]docosa-1(22),2,4,6,8(21),9,11(20),12,14(19),15,17-undecaene",octanol,C1=CC=C2C(=C1)C3=C4C2=CC5=CC=CC6=C5C4=C(C=C6)C=C3,-16.961,10.1021/acs.est.2c06170
indoxacarb,"methyl 7-chloro-2-[methoxycarbonyl-[4-(trifluoromethoxy)phenyl]carbamoyl]-3,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a-carboxylate",octanol,COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,-19.294,10.1021/acs.est.2c06170
"isopropyl-4,4dibromobenzilate","propan-2-yl 2,2-bis(4-bromophenyl)-2-hydroxyacetate",octanol,CC(C)OC(=O)C(C1=CC=C(C=C1)Br)(C2=CC=C(C=C2)Br)O,-16.006,10.1021/acs.est.2c06170
karbutilate,[3-(dimethylcarbamoylamino)phenyl] N-tert-butylcarbamate,octanol,CC(C)(C)NC(=O)OC1=CC=CC(=C1)NC(=O)N(C)C,-17.575,10.1021/acs.est.2c06170
lambda-cyhalothrin,"[cyano-(3-phenoxyphenyl)methyl] 3-(2-chloro-3,3,3-trifluoroprop-1-enyl)-2,2-dimethylcyclopropane-1-carboxylate",octanol,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,-16.524,10.1021/acs.est.2c06170
lenacil,"3-cyclohexyl-1,5,6,7-tetrahydrocyclopenta[d]pyrimidine-2,4-dione",octanol,C1CCC(CC1)N2C(=O)C3=C(CCC3)NC2=O,-16.66,10.1021/acs.est.2c06170
mannitol,"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",octanol,C(C(C(C(C(CO)O)O)O)O)O,-19.485,10.1021/acs.est.2c06170
